OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE
-,-,-,-,-,-,375,"2,495.10","2,603.45",375,"22,350.00"
-,-,-,-,-,-,375,"2,445.50","2,549.35",375,"22,400.00"
-,-,-,-,-,-,375,"2,394.40","2,502.35",375,"22,450.00"
950,3,44,-,"2,415.85",30.8,25,"2,394.70","2,406.80",500,"22,500.00"
-,-,-,-,-,-,375,"2,283.55","2,401.65",375,"22,550.00"
15,-,-,-,-,-,"1,775","2,173.60","2,365.35",375,"22,600.00"
-,-,-,-,-,-,375,"2,188.00","2,301.45",375,"22,650.00"
27,-,-,-,-,-,375,"2,140.20","2,265.60",375,"22,700.00"
4,4,8,-,"2,132.25",36.8,225,"2,140.30","2,193.05",75,"22,750.00"
39,-,1,-,"2,100.00",-141.65,50,"2,092.55","2,102.15",25,"22,800.00"
-,-,-,-,-,-,375,"1,990.00","2,101.95",375,"22,850.00"
110,-54,109,-,"1,999.65",-138.35,500,"1,956.20","2,021.85",50,"22,900.00"
-,-,-,-,-,-,375,"1,895.85","2,004.05",375,"22,950.00"
"2,299",324,764,-,"1,897.30",-133.5,100,"1,893.85","1,901.60",375,"23,000.00"
-,-,-,-,-,-,375,"1,789.25","1,901.55",375,"23,050.00"
10,-,2,112.42,"1,910.10",-6.7,225,"1,746.15","1,804.85",50,"23,100.00"
-,-,-,-,-,-,375,"1,683.85","1,800.60",375,"23,150.00"
57,-,-,-,-,-,375,"1,634.90","1,756.65",375,"23,200.00"
2,1,3,108.4,"1,767.15",106.05,50,"1,639.55","1,662.30",50,"23,250.00"
60,-,-,-,-,-,375,"1,534.45","1,659.35",375,"23,300.00"
1,-,2,86.54,"1,631.90",52.55,50,"1,541.45","1,564.75",50,"23,350.00"
56,-8,9,-,"1,495.00",-197,50,"1,491.90","1,509.45",50,"23,400.00"
1,-,1,91.27,"1,550.00",-140,50,"1,437.25","1,468.20",50,"23,450.00"
"1,385",-51,120,-,"1,395.15",-153,100,"1,395.15","1,399.10",50,"23,500.00"
2,-,-,-,-,-,"1,775","1,254.80","1,659.15","1,000","23,550.00"
405,1,11,-,"1,280.00",-167.75,50,"1,284.40","1,330.55",150,"23,600.00"
