STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
"22,350.00","18,40,325",0.1,0.15,"16,85,300",-0.35,0.1,63.65,"9,74,589","1,09,975","2,58,341"
"22,400.00","11,00,225",0.1,0.15,"5,16,775",-0.35,0.1,62.45,"3,80,544","20,190","78,776"
"22,450.00","4,50,450",0.1,0.15,"60,050",-0.35,0.15,63.16,"63,690","5,348","15,129"
"22,500.00","15,850",0.2,0.25,"7,975",-0.45,0.2,64.54,"1,96,937","28,157","1,17,545"
"22,550.00","11,325",0.15,0.2,"23,325",-0.5,0.15,60.69,"48,940","7,286","14,100"
"22,600.00","1,275",0.2,0.3,"1,800",-0.5,0.2,60.85,"16,745",-297,"9,448"
"22,650.00","13,800",0.15,0.25,50,-0.5,0.2,59.59,"3,166",-339,"1,794"
"22,700.00",125,0.15,0.25,"1,800",-0.5,0.15,57,"5,490",786,"2,097"
"22,750.00",50,0.2,0.35,"2,450",-0.35,0.35,59.88,"2,528",-55,"1,425"
"22,800.00","9,150",0.15,0.3,"1,925",-0.45,0.25,56.88,"8,486",-447,"7,648"
"22,850.00","5,375",0.2,0.25,25,-0.45,0.25,55.61,"2,001",425,"2,294"
"22,900.00","4,250",0.15,0.4,500,-0.45,0.15,52.09,"7,030",72,"5,944"
"22,950.00","7,475",0.15,0.2,"3,175",-0.45,0.15,50.86,"4,085",-55,"1,558"
"23,000.00","51,600",0.2,0.25,"7,200",-0.4,0.2,50.82,"1,07,732","-19,800","76,837"
"23,050.00","11,600",0.15,0.25,"7,025",-0.45,0.15,48.41,"8,672",89,"5,158"
"23,100.00","4,600",0.2,0.3,"2,025",-0.3,0.3,50.05,"10,800",7,"3,240"
"23,150.00","7,200",0.2,0.25,300,-0.45,0.25,47.99,"2,212",-124,877
"23,200.00","2,850",0.2,0.4,50,-0.45,0.25,46.72,"17,387","-2,011","6,375"
"23,250.00","3,550",0.2,0.25,"1,625",-0.5,0.25,45.45,"2,271",-1,"1,789"
"23,300.00","6,575",0.2,1.3,"1,925",-0.6,0.2,43.33,"34,365","-2,999","10,975"
"23,350.00",600,0.2,0.35,"10,675",-0.5,0.35,44.24,"6,037","-1,196","1,433"
"23,400.00","1,38,400",0.15,0.2,"69,250",-0.6,0.2,40.83,"58,339","-2,674","15,928"
"23,450.00","2,000",0.2,0.4,675,-0.55,0.4,41.64,"7,147",489,"4,025"
"23,500.00","5,475",0.25,0.3,"1,600",-0.75,0.25,39.1,"2,04,735","-16,328","1,02,903"
"23,550.00","16,925",0.2,0.25,450,-0.7,0.2,37.83,"24,339",-253,"4,221"
"23,600.00","4,950",0.25,0.45,"17,600",-0.75,0.25,36.56,"84,470","-4,290","16,389"
"23,650.00","2,150",0.25,0.55,250,-0.9,0.25,35.29,"28,921",-526,"8,888"
"23,700.00",500,0.25,0.3,300,-0.9,0.3,34.01,"1,38,970","-5,588","39,196"
"23,750.00",525,0.25,0.3,"1,975",-0.9,0.3,33.3,"40,583","-1,216","7,830"
"23,800.00","5,900",0.25,0.55,500,-0.7,0.5,33.67,"1,55,272","-3,222","44,424"
"23,850.00",325,0.35,1,100,-0.85,0.35,31.18,"42,081",340,"11,305"
"23,900.00","10,375",0.4,0.6,"1,000",-0.85,0.4,30.63,"2,47,132","-7,474","29,126"
"23,950.00",450,0.4,0.55,"1,750",-0.8,0.55,29.91,"48,905","-2,087","7,983"
"24,000.00","3,325",0.4,0.5,"4,550",-1.05,0.4,27.94,"9,35,826","1,324","1,68,686"
"24,050.00","5,075",0.4,1,575,-0.5,1,26.26,"90,379","-1,937","10,269"
"24,100.00","1,500",0.5,0.55,"1,775",-1.05,0.55,25.23,"4,09,374","10,499","61,136"
"24,150.00","2,000",0.5,0.65,500,-1.2,0.5,24.15,"1,12,193","-1,182","15,048"
