STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
"21,750.00","39,000",0.8,0.85,"28,475",-,0.8,66.99,"3,37,992","42,302","2,39,444"
"21,800.00","8,950",0.85,0.9,"15,175",0.05,0.85,65.98,"69,198","6,470","67,420"
"21,850.00","6,150",0.85,0.9,"1,450",-0.25,0.9,64.62,"21,243","1,347","24,465"
"21,900.00","1,450",0.9,0.95,"4,725",-,0.95,63.61,"13,621",-60,"10,224"
"21,950.00","1,525",0.9,0.95,"1,850",0.15,0.95,62.6,"7,029","1,086","4,774"
"22,000.00","8,650",0.9,0.95,"9,025",-0.15,0.9,61.92,"60,271","-1,236","1,00,460"
"22,050.00","1,950",0.95,1.05,"2,675",-0.05,1,60.91,"6,981",932,"1,540"
"22,100.00","5,200",1,1.05,"1,925",-0.1,1.05,60.5,"22,408",175,"14,566"
"22,150.00",950,0.95,1,375,-0.05,0.95,58.89,"3,872",-102,"3,153"
"22,200.00","2,150",1.05,1.1,"2,875",-0.1,1.05,58.47,"24,071",442,"13,527"
"22,250.00",325,1.05,1.1,"2,925",-,1.05,57.45,"4,565",109,908
"22,300.00",800,1.15,1.2,"3,550",-0.05,1.15,56.71,"26,377",268,"13,882"
"22,350.00","1,075",1.1,1.2,"2,350",-0.05,1.1,55.42,"4,304",91,560
"22,400.00","17,650",1.15,1.2,"4,300",-0.05,1.15,54.67,"18,816",-749,"14,660"
"22,450.00","3,950",1.1,1.2,"1,825",0.15,1.2,53.4,"3,032",109,"1,160"
"22,500.00","74,400",1.15,1.2,"46,750",0.05,1.2,52.88,"1,57,999","1,817","48,116"
"22,550.00","2,050",1.15,1.25,"4,950",-,1.15,51.86,"3,813",67,"1,901"
"22,600.00","3,725",1.15,1.2,"17,125",-0.05,1.15,50.61,"29,737","3,172","10,778"
"22,650.00","4,475",1.15,1.25,"2,150",0.05,1.2,49.82,"7,731",74,"1,187"
"22,700.00","3,900",1.2,1.25,"4,875",0.1,1.25,48.81,"24,986","2,036","10,168"
"22,750.00","4,350",1.2,1.25,"1,125",0.1,1.25,47.79,"8,892",90,"1,720"
"22,800.00","11,025",1.2,1.25,"7,175",0.05,1.2,46.98,"31,773","-1,997","17,830"
"22,850.00","2,825",1.25,1.3,"3,350",0.15,1.3,45.96,"6,572",33,"1,838"
